,Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,Dapinglin ,Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,Jingan ,Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,"Banqiao
(Bannan Line)",Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,Touqianzhuang ,Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng,Shisizhang,Xiulang Bridge,Jingping,Zhonghe,Qiaohe,Zhongyuan,Banxin,"Banqiao
(Circular Line)",Xingpu Minsheng,Xingfu,New Taipei Industrial Park
2022/10/1,2657    ,7607    ,20817    ,36337    ,14016    ,8454    ,6381    ,3321    ,2155    ,7483    ,1347    ,2777    ,7162    ,5699    ,10300    ,4650    ,5977    ,3201    ,7007    ,3056    ,4838    ,5243    ,1989    ,18939    ,3022    ,10475    ,8662    ,10443    ,14651    ,12528    ,7286    ,21809    ,11567    ,21642    ,16187    ,3792    ,24632    ,17191    ,16118    ,14311    ,8972    ,116684    ,46499    ,15609    ,14591    ,24350    ,54074    ,33112    ,17957    ,7963    ,19502    ,5206    ,4842    ,13755    ,4485    ,2799    ,1507    ,7953    ,7333    ,10130    ,31750    ,5367    ,9123    ,5876    ,14816    ,13582    ,20700    ,31511    ,24753    ,18584    ,20648    ,56086    ,15833    ,27036    ,26099    ,15522    ,51055    ,13146    ,12387    ,9956    ,16634    ,8542    ,25257    ,11696    ,8985    ,8850    ,16258    ,15058    ,11723    ,14058    ,7102    ,7833    ,4231    ,2055    ,5642    ,6497    ,8004    ,8987    ,10993    ,16216    ,18861    ,8795    ,8244    ,8574    ,7659    ,8250    ,6584    ,6056    ,847    ,1919    ,2473    ,3702    ,1006    ,1283    ,1769    ,7024    ,1701    ,2939    ,2776    
2022/10/2,2267    ,5611    ,14367    ,25884    ,9743    ,6535    ,4942    ,2809    ,1655    ,6306    ,1045    ,2309    ,6308    ,4576    ,8521    ,3666    ,4744    ,2874    ,5584    ,2634    ,3968    ,4212    ,1714    ,10967    ,2959    ,8583    ,7015    ,8935    ,11577    ,10590    ,6370    ,18607    ,9614    ,16645    ,12779    ,2965    ,19996    ,14289    ,13064    ,11830    ,6300    ,99981    ,34806    ,9907    ,11757    ,17849    ,19707    ,16706    ,13705    ,6090    ,15588    ,4282    ,3679    ,12113    ,4008    ,2400    ,1206    ,7493    ,5887    ,9034    ,28537    ,4497    ,7053    ,4726    ,12091    ,9950    ,16153    ,25931    ,19785    ,14489    ,16895    ,42620    ,9888    ,19630    ,17107    ,12518    ,39726    ,10789    ,9530    ,6086    ,12321    ,6512    ,19769    ,8569    ,7739    ,6729    ,11102    ,7417    ,9020    ,10247    ,6103    ,6424    ,3408    ,1560    ,4646    ,4952    ,6105    ,7084    ,8235    ,11534    ,14830    ,6752    ,6286    ,6759    ,6070    ,6529    ,5446    ,4845    ,783    ,1712    ,2249    ,3024    ,931    ,995    ,1451    ,5920    ,1373    ,2283    ,2683    
2022/10/3,3719    ,11952    ,35256    ,30740    ,21158    ,12225    ,9239    ,3373    ,2864    ,12253    ,1759    ,3918    ,3995    ,8666    ,8757    ,15040    ,15747    ,5110    ,8169    ,2588    ,7833    ,7632    ,5506    ,23468    ,2832    ,9626    ,11641    ,13536    ,20651    ,14486    ,8259    ,22635    ,13219    ,26664    ,19434    ,10055    ,30464    ,21998    ,22108    ,17655    ,21015    ,96129    ,32361    ,17669    ,19550    ,21444    ,22720    ,22683    ,19222    ,11612    ,27616    ,5798    ,7076    ,16675    ,3379    ,3229    ,2925    ,12955    ,8469    ,11319    ,27211    ,7779    ,11558    ,7111    ,20457    ,21346    ,21814    ,32908    ,33520    ,23529    ,20671    ,41694    ,20143    ,26475    ,25322    ,15681    ,49594    ,17408    ,13514    ,12721    ,16916    ,11015    ,22583    ,16251    ,6262    ,9559    ,32122    ,18637    ,21066    ,19243    ,13592    ,10095    ,5205    ,4297    ,6229    ,9244    ,8508    ,10089    ,14241    ,24116    ,18220    ,12292    ,11272    ,11135    ,10834    ,10425    ,10607    ,8016    ,1378    ,2295    ,3652    ,4223    ,2290    ,3326    ,2760    ,6918    ,2238    ,3554    ,4669    
2022/10/4,3467    ,12325    ,36259    ,32827    ,21815    ,12601    ,9462    ,3619    ,2975    ,12511    ,1868    ,4007    ,4374    ,8745    ,9138    ,15397    ,16264    ,5138    ,8129    ,2739    ,7770    ,7729    ,5607    ,24255    ,3016    ,9867    ,11751    ,13715    ,21050    ,14954    ,8461    ,23241    ,13320    ,27713    ,21361    ,10074    ,30777    ,22974    ,22242    ,17907    ,20779    ,94215    ,33921    ,17740    ,19575    ,23029    ,23116    ,22787    ,19519    ,11545    ,27517    ,6019    ,7308    ,17145    ,3543    ,3278    ,3005    ,13207    ,8488    ,11471    ,27203    ,7886    ,11463    ,7288    ,20435    ,21592    ,22040    ,32845    ,33955    ,24017    ,20885    ,42690    ,21268    ,26801    ,26381    ,16324    ,50342    ,18749    ,13554    ,12663    ,17161    ,11453    ,21802    ,16689    ,6533    ,9841    ,32978    ,19385    ,21313    ,19758    ,13667    ,10129    ,5174    ,4506    ,6257    ,9577    ,8702    ,10184    ,14821    ,24182    ,19606    ,12393    ,11344    ,11355    ,10996    ,10673    ,10372    ,8128    ,1446    ,2288    ,3662    ,4189    ,2262    ,3358    ,2886    ,6981    ,2234    ,3610    ,4846    
2022/10/5,3624    ,12876    ,37976    ,34174    ,22688    ,13117    ,10042    ,3586    ,2952    ,12908    ,1886    ,4063    ,4085    ,8956    ,9637    ,15900    ,16548    ,5169    ,8575    ,2773    ,8067    ,7873    ,5928    ,24530    ,3085    ,9913    ,11771    ,14312    ,21833    ,15184    ,8906    ,23872    ,14408    ,29116    ,22062    ,10307    ,31945    ,23496    ,23197    ,18268    ,21840    ,98597    ,36998    ,18630    ,20678    ,22898    ,23112    ,23396    ,20113    ,11833    ,28245    ,6214    ,7460    ,17672    ,3837    ,3338    ,2990    ,13348    ,8789    ,11366    ,27017    ,7985    ,11832    ,7306    ,20995    ,22133    ,22721    ,34363    ,34737    ,24842    ,21327    ,45256    ,22674    ,28634    ,28215    ,17791    ,53614    ,18676    ,14312    ,13372    ,17756    ,11283    ,22610    ,17369    ,6418    ,10384    ,34594    ,20015    ,22510    ,20333    ,13672    ,10476    ,5269    ,4553    ,6369    ,9748    ,8992    ,10638    ,15169    ,24787    ,20376    ,12576    ,11588    ,11679    ,11164    ,10746    ,10464    ,8326    ,1431    ,2356    ,3856    ,4566    ,2362    ,3569    ,3042    ,7122    ,2302    ,3650    ,4804    
2022/10/6,3732    ,12630    ,38210    ,33990    ,22533    ,13057    ,10045    ,3514    ,2993    ,12752    ,1789    ,4079    ,4077    ,9141    ,9887    ,15818    ,16653    ,5244    ,8699    ,2813    ,8114    ,7911    ,5938    ,24404    ,3158    ,9972    ,12126    ,14047    ,21752    ,15089    ,8684    ,23623    ,14254    ,28559    ,22335    ,10418    ,31820    ,23497    ,22885    ,18287    ,21360    ,106777    ,41201    ,18339    ,20795    ,23253    ,23170    ,23842    ,20208    ,11818    ,27883    ,6310    ,7502    ,17598    ,3866    ,3481    ,2870    ,13074    ,8793    ,11481    ,27305    ,7929    ,11733    ,7241    ,20721    ,21791    ,22709    ,34451    ,34747    ,24466    ,21522    ,45464    ,21863    ,28873    ,27914    ,17733    ,54580    ,18454    ,14085    ,13476    ,18311    ,11348    ,23184    ,17569    ,6621    ,10356    ,34512    ,19820    ,22375    ,20388    ,13754    ,10649    ,5490    ,4395    ,6488    ,9720    ,8935    ,10726    ,14708    ,25196    ,20232    ,12412    ,11756    ,11582    ,11195    ,10834    ,10493    ,8317    ,1461    ,2366    ,3803    ,4373    ,2334    ,3447    ,2818    ,7670    ,2256    ,3669    ,4828    
2022/10/7,4562    ,13011    ,39699    ,39451    ,23451    ,13315    ,10327    ,3724    ,2951    ,12565    ,1814    ,4013    ,3854    ,8905    ,11054    ,15040    ,16534    ,5571    ,9231    ,2720    ,8105    ,8197    ,5874    ,24270    ,3299    ,10120    ,12486    ,14675    ,22617    ,15883    ,9493    ,25186    ,15080    ,29671    ,22720    ,10665    ,32676    ,24050    ,23685    ,18415    ,22717    ,152129    ,46947    ,19490    ,21414    ,24583    ,23617    ,24298    ,21760    ,11751    ,28064    ,6391    ,7588    ,17944    ,4159    ,3594    ,2944    ,12381    ,8966    ,11635    ,27564    ,8244    ,13425    ,7684    ,21735    ,21834    ,24818    ,40626    ,35837    ,25243    ,22081    ,55549    ,22422    ,31403    ,32685    ,20006    ,62753    ,19869    ,14787    ,13098    ,24932    ,11639    ,27287    ,18805    ,6740    ,10864    ,35756    ,20194    ,22745    ,20978    ,13160    ,11007    ,5577    ,4520    ,6658    ,9775    ,9379    ,11015    ,16081    ,25710    ,21281    ,13160    ,12309    ,12266    ,11527    ,11196    ,10682    ,8492    ,1521    ,2532    ,4021    ,4675    ,2439    ,3450    ,3050    ,10701    ,2395    ,4032    ,5140    
2022/10/8,2924    ,7134    ,19441    ,36647    ,12410    ,7131    ,5944    ,2824    ,1835    ,6329    ,1195    ,2488    ,4688    ,5026    ,10276    ,4092    ,5259    ,3078    ,6408    ,2363    ,4309    ,4848    ,1875    ,13929    ,3078    ,8093    ,7737    ,9543    ,12934    ,11005    ,6618    ,18529    ,10420    ,19169    ,12757    ,3366    ,22670    ,15932    ,15339    ,13245    ,8236    ,125615    ,48384    ,13904    ,12945    ,22333    ,20250    ,19206    ,16072    ,7072    ,16566    ,4869    ,4563    ,12712    ,4794    ,2534    ,1258    ,6955    ,6697    ,9477    ,26371    ,5256    ,8414    ,5166    ,13748    ,12249    ,20087    ,33005    ,22829    ,17197    ,19708    ,59020    ,11964    ,27447    ,27041    ,16024    ,49862    ,12632    ,10705    ,6586    ,16812    ,6558    ,22753    ,11276    ,8017    ,8224    ,15263    ,14424    ,11012    ,12517    ,6734    ,8100    ,4325    ,1845    ,5582    ,5983    ,8028    ,8713    ,10894    ,14995    ,16505    ,8326    ,7493    ,8468    ,7463    ,7914    ,6181    ,5574    ,722    ,1910    ,2418    ,3586    ,1124    ,1229    ,1609    ,8556    ,1676    ,2790    ,3157    
2022/10/9,1973    ,5868    ,15265    ,30701    ,9701    ,5920    ,5349    ,2675    ,1652    ,5105    ,1072    ,2164    ,8450    ,4012    ,9580    ,3189    ,4231    ,2725    ,5754    ,2404    ,3821    ,4554    ,1785    ,10926    ,3274    ,8933    ,7027    ,8809    ,11576    ,10055    ,6223    ,17520    ,9432    ,15603    ,18146    ,2932    ,21536    ,14650    ,13653    ,12122    ,8065    ,108156    ,44058    ,10973    ,12374    ,21874    ,20758    ,19150    ,14902    ,5825    ,14994    ,4476    ,4323    ,12052    ,5393    ,2357    ,1238    ,6641    ,5961    ,10240    ,32571    ,5151    ,7536    ,4644    ,12326    ,9976    ,17997    ,28815    ,20608    ,15209    ,18675    ,57864    ,9882    ,25610    ,22668    ,14836    ,45973    ,10986    ,9596    ,7374    ,13757    ,6823    ,23184    ,9433    ,8472    ,8052    ,12510    ,8450    ,9437    ,11827    ,5599    ,5942    ,3781    ,1645    ,5127    ,5357    ,7224    ,7976    ,9148    ,12494    ,15295    ,7574    ,6828    ,7319    ,6632    ,7177    ,5798    ,5122    ,648    ,1866    ,2461    ,3410    ,1026    ,1131    ,1468    ,6693    ,1373    ,2716    ,3003    
2022/10/10,2667    ,5451    ,13539    ,25635    ,8473    ,5782    ,4725    ,2451    ,1555    ,6176    ,1016    ,1952    ,5265    ,4414    ,7956    ,3394    ,4252    ,2638    ,5227    ,2005    ,4049    ,4152    ,1562    ,9779    ,2672    ,7456    ,6721    ,8628    ,10787    ,9628    ,6182    ,18094    ,8514    ,14624    ,13947    ,2708    ,19677    ,13346    ,12705    ,11902    ,9110    ,94000    ,35774    ,9449    ,10172    ,17079    ,17264    ,17020    ,12886    ,5748    ,14909    ,4137    ,3526    ,11459    ,3717    ,2017    ,1745    ,6455    ,5630    ,8296    ,26839    ,4309    ,6264    ,4129    ,11286    ,8935    ,14937    ,25022    ,18631    ,14030    ,16812    ,46785    ,7309    ,20025    ,17515    ,9828    ,38178    ,9840    ,9173    ,5790    ,11763    ,5695    ,17996    ,8071    ,5030    ,6270    ,10782    ,7532    ,8488    ,9640    ,6372    ,5392    ,3198    ,1480    ,5058    ,4670    ,6092    ,6576    ,8325    ,13000    ,12837    ,6216    ,6054    ,6643    ,6124    ,6635    ,5095    ,4562    ,703    ,1720    ,2382    ,3297    ,1074    ,1007    ,1327    ,6073    ,1355    ,2325    ,2616    
